smiles,pred_pActivity,pred_uncertainty,pred_conservative,pred_offmax,selectivity,makeability,combined_score
CS(=O)(=O)CC(=O)NCCn1ccc2ncnc(Nc3ccc(Oc4cccc(Cl)c4)c(Cl)c3)c21,7.772026,0.0,7.772026,5.716651,2.055375,0.888888888888889,0.82677996
CC(C)(C(=O)NCCn1ccc2ncnc(Nc3ccc(Oc4cccc(Cl)c4)c(Cl)c3)c21)S(C)(=O)=O,7.6865325,0.0,7.6865325,5.6502576,2.036275,0.888888888888889,0.82083404
CN(C)c1ccc2ncnc(Nc3cccc(Br)c3)c2n1,7.509903,0.0,7.509903,5.4222736,2.0876293,0.9166666666666667,0.82066274
Clc1ccc2ncnc(Nc3cccc(Br)c3)c2n1,7.596727,4.7683716e-07,7.5967264,5.5747137,2.0220132,0.9166666666666667,0.81926244
COc1cc2ncnc(Nc3cccc(Cl)c3F)c2cc1OC1CCN(C)CC1,7.818696,4.7683716e-07,7.8186955,5.877178,1.9415178,0.888888888888889,0.8191509
Nc1ccc2ncnc(Nc3cccc(Br)c3)c2n1,7.6744475,0.0,7.6744475,5.700592,1.9738555,0.9166666666666667,0.81893474
CN(CC(=O)O)Cc1c[nH]c2cc3ncnc(Nc4cccc(Br)c4)c3cc12,7.9685264,0.0,7.9685264,6.14196,1.8265662,0.888888888888889,0.8165842
Clc1cccc(Nc2ncnc3cc4c(cc23)OCCOCCOCCO4)c1,7.584071,4.7683716e-07,7.5840707,5.352678,2.2313933,0.7777777777777778,0.8161171
COc1cc2c(Nc3ccc(OCc4cccc(F)c4)c(Cl)c3)ncnc2cc1OCCCCn1ccnc1[N+](=O)[O-],7.7497053,4.7683716e-07,7.749705,5.73053,2.0191755,0.8461111111111111,0.81607974
CN(C)CCn1ccc2cc3c(Nc4cccc(Br)c4)ncnc3cc21,7.7263556,4.7683716e-07,7.726355,5.767834,1.9585214,0.888888888888889,0.8160217
Fc1ccc2ncnc(Nc3cccc(Br)c3)c2n1,7.5034547,0.0,7.5034547,5.465728,2.0377269,0.9166666666666667,0.8159739
