smiles,pred_pActivity,pred_uncertainty,pred_conservative,pred_offmax,selectivity,makeability,combined_score,parent_smiles
CS(=O)(=O)c1cccc(Nc2ncnc3cnc(-c4ccccc4)cc23)c1,7.437822,0.0,7.437822,5.3919144,2.0459075,0.888888888888889,0.80924135,CN(CCO)c1cc2c(Nc3cccc(Br)c3)ncnc2cn1
CC(C)c1ccc2c(Nc3cccc(Cl)c3)ncnc2c1,7.7065,4.7683716e-07,7.7064996,5.8620563,1.8444438,0.9166666666666667,0.80921376,Oc1cc2ncnc(Nc3cccc(Br)c3)c2cc1O
CN(C)c1cccc(Nc2ncnc3cnc(-c4cnccn4)cc23)c1,7.3887186,4.7683716e-07,7.388718,5.317238,2.0714808,0.888888888888889,0.8090238,CNc1cc2c(Nc3cccc(Cl)c3)ncnc2cn1
CCOc1cccc(Nc2ncnc3cc(-c4ccccc4)ccc23)c1,7.671523,4.7683716e-07,7.6715226,5.765958,1.9055653,0.888888888888889,0.8086464,Nc1ccc2c(Nc3cccc(Br)c3)ncnc2c1
CC(C)c1cc2c(Nc3cccc(C#N)c3)ncnc2cn1,7.6008177,4.7683716e-07,7.600817,5.710949,1.8898687,0.9166666666666667,0.80790436,OCCNc1cc2c(Nc3cccc(Br)c3)ncnc2cn1
COc1cc2c(Nc3cccc(S(C)(=O)=O)c3)ncnc2cn1,7.6623564,4.7683716e-07,7.662356,5.808206,1.8541503,0.9166666666666667,0.8078559,OCCNc1cc2c(Nc3cccc(Br)c3)ncnc2cn1
c1cc(Nc2ncnc3cc(OCCCCn4ccnc4-c4cnccn4)ccc23)cc(-c2cnccn2)c1,7.8472466,0.0,7.8472466,5.912947,1.9342995,0.8033333333333333,0.8071135,C#Cc1cccc(Nc2ncnc3cc(OCCCCn4ccnc4[N+](=O)[O-])c(OC)cc23)c1
CS(=O)(=O)c1ccc2c(Nc3cccc(Cl)c3)ncnc2c1,7.502862,4.7683716e-07,7.5028615,5.5778866,1.9249754,0.9166666666666667,0.80607843,Nc1ccc2c(Nc3cccc(Br)c3)ncnc2c1
CNc1cccc(Nc2ncnc3cc(Br)ccc23)c1,7.6913233,0.0,7.6913233,5.877344,1.8139791,0.9166666666666667,0.80578935,Nc1ccc2c(Nc3cccc(Br)c3)ncnc2c1
CCc1nccn1CCCCOc1ccc2c(Nc3cccc(NC)c3)ncnc2c1,7.8152223,4.7683716e-07,7.815222,6.028647,1.7865753,0.888888888888889,0.80541974,C#Cc1cccc(Nc2ncnc3cc(OCCCCn4ccnc4[N+](=O)[O-])c(OC)cc23)c1
Cc1cc2ncnc(Nc3cccc(C(C)C)c3)c2cn1,7.66901,0.0,7.66901,5.8468404,1.8221698,0.9166666666666667,0.80539036,OCCNc1cc2ncnc(Nc3cccc(Br)c3)c2cn1
CCc1ccc2c(Nc3cccc(Br)c3)ncnc2c1,7.679885,0.0,7.679885,5.8651996,1.8146853,0.9166666666666667,0.8052792,Nc1ccc2c(Nc3cccc(Cl)c3)ncnc2c1
CCOc1ccc2c(Nc3cccc(C(C)C)c3)ncnc2c1,7.732554,0.0,7.732554,5.950518,1.7820358,0.9166666666666667,0.8050558,Oc1cc2ncnc(Nc3cccc(Br)c3)c2cc1O
CCc1cccc(Nc2ncnc3cnc(OC)cc23)c1,7.693078,0.0,7.693078,5.8942337,1.7988443,0.9166666666666667,0.8045528,OCC(O)CNc1cc2c(Nc3cccc(Br)c3)ncnc2cn1
Brc1cccc(Nc2ncnc3cc(-c4ccccn4)ccc23)c1,7.545165,0.0,7.545165,5.6231227,1.9220424,0.888888888888889,0.8037703,CCCOc1cc2ncnc(Nc3cccc(Br)c3)c2cc1OCCC
