target,features,n_test,n_actives,enrichment@5%,recall@5%,enrichment@10%,recall@10%
ERBB2,ligand_only,259,138,1.8768115942028984,0.08695652173913043,1.8768115942028984,0.18115942028985507
ERBB2,protein_conditioned,259,138,1.8768115942028984,0.08695652173913043,1.8768115942028984,0.18115942028985507
EGFR,ligand_only,237,95,2.2679425837320575,0.10526315789473684,1.9524027459954234,0.18947368421052632
EGFR,protein_conditioned,237,95,2.2679425837320575,0.10526315789473684,1.9524027459954234,0.18947368421052632
ERBB4,ligand_only,32,19,1.6842105263157894,0.05263157894736842,1.6842105263157894,0.15789473684210525
ERBB4,protein_conditioned,32,19,1.6842105263157894,0.05263157894736842,1.6842105263157894,0.15789473684210525
