smiles,target_name,pActivity,activity_nM,target_chembl_id
Brc1cccc(Nc2ncnc3cnccc23)c1,EGFR,7.292429823902063,51.0,CHEMBL203
Brc1cccc(Nc2ncnc3ncccc23)c1,EGFR,6.162411561764489,688.0,CHEMBL203
Brc1cccc(Nc2ncnc3sccc23)c1,EGFR,7.455931955649724,35.0,CHEMBL203
Brc1cccc(Oc2ncnc3ccccc23)c1,EGFR,6.121478204498794,756.0,CHEMBL203
C#CC(=O)Nc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,EGFR,9.221848749616356,0.6,CHEMBL203
C#CC(=O)Nc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,ERBB2,8.619788758288394,2.4,CHEMBL1824
C#CC(=O)Nc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,ERBB4,7.886056647693163,13.0,CHEMBL3009
C#CC(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,EGFR,8.795880017344075,1.6,CHEMBL203
C#CC(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,ERBB2,8.721246399047171,1.9,CHEMBL1824
C#CC(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,ERBB4,8.769551078621726,1.7,CHEMBL3009
C#CCCCn1c(Sc2cc(OC)c(OC)c(OC)c2Cl)nc2c(N)nc(F)nc21,ERBB2,5.769551078621726,1700.0,CHEMBL1824
C#CCCCn1c(Sc2cc(OC)ccc2I)nc2c(N)nc(F)nc21,ERBB2,6.443697499232712,360.0,CHEMBL1824
C#CCCCn1c(Sc2cc(OC)ccc2I)nc2c(N)ncnc21,ERBB2,6.552841968657781,280.0,CHEMBL1824
C#Cc1cc(Nc2ncnc3cc(OC)c(OC)cc23)ccc1F,EGFR,8.397940008672037,4.0,CHEMBL203
C#Cc1cc(Nc2ncnc3cc(OC)c(OCCCCCCC(=O)NO)cc23)ccc1F,ERBB2,7.116338564846382,76.5,CHEMBL1824
C#Cc1cc(Nc2ncnc3cc(OC)c(OCCCCCCCC(=O)NO)cc23)ccc1F,ERBB2,7.0,100.0,CHEMBL1824
C#Cc1cc(Nc2ncnc3cc(OCCOC)c(OCCCCCCCC(=O)NO)cc23)ccc1F,ERBB2,7.0,100.0,CHEMBL1824
C#Cc1cccc(Nc2c(C#N)cnc3cc(OCCOC)c(OCCOC)cc23)c1,EGFR,6.070581074285707,850.0,CHEMBL203
C#Cc1cccc(Nc2cccc3cc(OC)c(OCCCCCCC(=O)NO)cc23)c1,ERBB2,7.804100347590766,15.7,CHEMBL1824
C#Cc1cccc(Nc2ncnc3c2/C(=C/c2[nH]c(C(=O)NCCN4CCOCC4)cc2C)C(=O)N3)c1,EGFR,7.7447274948966935,18.0,CHEMBL203
C#Cc1cccc(Nc2ncnc3cc(OC)c(NC(=O)CCCCCCC(=O)NO)cc23)c1,ERBB2,7.0,100.0,CHEMBL1824
C#Cc1cccc(Nc2ncnc3cc(OC)c(OCCCCC(=O)NO)cc23)c1,ERBB2,7.4156687756324695,38.4,CHEMBL1824
C#Cc1cccc(Nc2ncnc3cc(OC)c(OCCCCCC(=O)NO)cc23)c1,ERBB2,7.208968318544146,69.1,CHEMBL1824
C#Cc1cccc(Nc2ncnc3cc(OC)c(OCCCCCCC(=O)NO)cc23)c1,ERBB2,7.4872165575768195,58.583333333333336,CHEMBL1824
C#Cc1cccc(Nc2ncnc3cc(OCCCCCCC(=O)NO)c(OC)cc23)c1,ERBB2,7.143675149186395,75.8,CHEMBL1824
C#Cc1cccc(Nc2ncnc3cc(OCCCCCCC(=O)NO)c(OCCOC)cc23)c1,ERBB2,7.0,100.0,CHEMBL1824
C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1,EGFR,8.020160249127128,483.8666666666666,CHEMBL203
C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1,ERBB2,6.454713604629712,839.4833333333333,CHEMBL1824
C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1,ERBB4,5.878664900381629,1503.3333333333333,CHEMBL3009
C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1.Cl,ERBB2,5.770847303940991,1705.0,CHEMBL1824
