target,n_train,n_test,features,r2,rmse,mae,spearman,pearson,unc_corr,mean_std
ERBB2,1201,259,ligand_only,0.5779666708503546,0.6420338177123454,0.4924874961250754,0.7213065339211366,0.7688284195698195,0.20798160360667012,0.054388819491421304
ERBB2,1201,259,protein_conditioned,0.5777774257440673,0.6421777496390463,0.49320073385078783,0.7220644911776386,0.7686860267141213,0.15786617231440697,0.05523352661048694
EGFR,1108,237,ligand_only,0.7445525418786749,0.6777417252431397,0.502007056671804,0.8515973602380175,0.866515555377077,0.061440984903199054,0.059184935396712976
EGFR,1108,237,protein_conditioned,0.7438924941554859,0.6786167648467856,0.5021351703282884,0.8510537699048655,0.8659772346498152,0.08155885162105808,0.05696483639852305
ERBB4,154,32,ligand_only,0.2866575816172401,0.9789829878912869,0.7502492341233807,0.5213087731545356,0.5437698690395014,0.3930073538067078,0.06118575358168456
ERBB4,154,32,protein_conditioned,0.29321413044979994,0.9744735356641907,0.7488162230812705,0.5275410158715729,0.5504520197678797,0.48809453430227867,0.059418254448614996
